,x1,x2,y
0,0.051267,0.69956,1
1,-0.092742,0.68494,1
2,-0.21371,0.69225,1
3,-0.375,0.50219,1
4,-0.51325,0.46564,1
5,-0.52477,0.2098,1
6,-0.39804,0.034357,1
7,-0.30588,-0.19225,1
8,0.016705,-0.40424,1
9,0.13191,-0.51389,1
10,0.38537,-0.56506,1
11,0.52938,-0.5212,1
12,0.63882,-0.24342,1
13,0.73675,-0.18494,1
14,0.54666,0.48757,1
15,0.322,0.5826,1
16,0.16647,0.53874,1
17,-0.046659,0.81652,1
18,-0.17339,0.69956,1
19,-0.47869,0.63377,1
20,-0.60541,0.59722,1
21,-0.62846,0.33406,1
22,-0.59389,0.005117,1
23,-0.42108,-0.27266,1
24,-0.11578,-0.39693,1
25,0.20104,-0.60161,1
26,0.46601,-0.53582,1
27,0.67339,-0.53582,1
28,-0.13882,0.54605,1
29,-0.29435,0.77997,1
30,-0.26555,0.96272,1
31,-0.16187,0.8019,1
32,-0.17339,0.64839,1
33,-0.28283,0.47295,1
34,-0.36348,0.31213,1
35,-0.30012,0.027047,1
36,-0.23675,-0.21418,1
37,-0.06394,-0.18494,1
38,0.062788,-0.16301,1
39,0.22984,-0.41155,1
40,0.2932,-0.2288,1
41,0.48329,-0.18494,1
42,0.64459,-0.14108,1
43,0.46025,0.012427,1
44,0.6273,0.15863,1
45,0.57546,0.26827,1
46,0.72523,0.44371,1
47,0.22408,0.52412,1
48,0.44297,0.67032,1
49,0.322,0.69225,1
50,0.13767,0.57529,1
51,-0.0063364,0.39985,1
52,-0.092742,0.55336,1
53,-0.20795,0.35599,1
54,-0.20795,0.17325,1
55,-0.43836,0.21711,1
56,-0.21947,-0.016813,1
57,-0.13882,-0.27266,1
58,0.18376,0.93348,0
59,0.22408,0.77997,0
60,0.29896,0.61915,0
61,0.50634,0.75804,0
62,0.61578,0.7288,0
63,0.60426,0.59722,0
64,0.76555,0.50219,0
65,0.92684,0.3633,0
66,0.82316,0.27558,0
67,0.96141,0.085526,0
68,0.93836,0.012427,0
69,0.86348,-0.082602,0
70,0.89804,-0.20687,0
71,0.85196,-0.36769,0
72,0.82892,-0.5212,0
73,0.79435,-0.55775,0
74,0.59274,-0.7405,0
75,0.51786,-0.5943,0
76,0.46601,-0.41886,0
77,0.35081,-0.57968,0
78,0.28744,-0.76974,0
79,0.085829,-0.75512,0
80,0.14919,-0.57968,0
81,-0.13306,-0.4481,0
82,-0.40956,-0.41155,0
83,-0.39228,-0.25804,0
84,-0.74366,-0.25804,0
85,-0.69758,0.041667,0
86,-0.75518,0.2902,0
87,-0.69758,0.68494,0
88,-0.4038,0.70687,0
89,-0.38076,0.91886,0
90,-0.50749,0.90424,0
91,-0.54781,0.70687,0
92,0.10311,0.77997,0
93,0.057028,0.91886,0
94,-0.10426,0.99196,0
95,-0.081221,1.1089,0
96,0.28744,1.087,0
97,0.39689,0.82383,0
98,0.63882,0.88962,0
99,0.82316,0.66301,0
100,0.67339,0.64108,0
101,1.0709,0.10015,0
102,-0.046659,-0.57968,0
103,-0.23675,-0.63816,0
104,-0.15035,-0.36769,0
105,-0.49021,-0.3019,0
106,-0.46717,-0.13377,0
107,-0.28859,-0.060673,0
108,-0.61118,-0.067982,0
109,-0.66302,-0.21418,0
110,-0.59965,-0.41886,0
111,-0.72638,-0.082602,0
112,-0.83007,0.31213,0
113,-0.72062,0.53874,0
114,-0.59389,0.49488,0
115,-0.48445,0.99927,0
116,-0.0063364,0.99927,0
117,0.63265,-0.030612,0
