NAME,ADDRESS,CITY,ZIP CODE,PHONE,URL,LONGITUDE,LATITUDE,LOCATION,LOCATION (state)
Damascus Post Office,26400 Woodfield Rd,Damascus,20872,301-253-3781,http://usps.whitepages.com/service/post_office/25180?p=1&s=md&service_name=post_office&z=damascus,-77.2036788974,39.2879885628,POINT (-77.2036788974 39.2879885628),MD
Dickerson Post Office,22145 Dickerson Rd,Dickerson,20842,301-428-8243,http://usps.whitepages.com/service/post_office/34855?p=1&s=md&service_name=post_office&z=dickerson,-77.4243450455,39.2190394952,POINT (-77.4243450455 39.2190394952),MD
Barnesville Post Office,22110 Beallsville Rd,Barnesville,20838,301-972-8153,http://usps.whitepages.com/service/post_office/50116?p=1&s=md&service_name=post_office&z=barnesville,-77.3781123871,39.2184742711,POINT (-77.3781123871 39.2184742711),MD
Laytonsville Post Office,6830 Olney Laytonsville Rd,Laytonsville,20882,301-208-3736,http://usps.whitepages.com/service/post_office/73830?p=1&s=md&service_name=post_office&z=Laytonsville,-77.1400195797,39.2036461636,POINT (-77.1400195797 39.2036461636),MD
Beallsville Post Office,19800 Darnestown Rd,Beallsville,20839,301-349-2140,http://usps.whitepages.com/service/post_office/50156?p=1&s=md&service_name=post_office&z=beallsville,-77.4131905048,39.1792235313,POINT (-77.4131905048 39.1792235313),MD
Boyds Post Office,15300 Barnsville Rd,Boyds,20841,301-972-9527,http://usps.whitepages.com/service/post_office/1483?p=1&s=md&service_name=post_office&z=boyds,-77.3167831549,39.1858234797,POINT (-77.3167831549 39.1858234797),MD
Brookeville Post  Office,22311 Georgia Ave,Brookeville,20833,301-260-2975,http://usps.whitepages.com/service/post_office/50472?a=22311+georgia+ave&p=1&s=md&service_name=post_office&z=olney,-77.0591895233,39.2214732292,POINT (-77.0591895233 39.2214732292),MD
Germantown Post Office,12774 Wisteria Dr,Germantown,20874,301-428-0460,http://usps.whitepages.com/service/post_office/44592?p=1&s=md&service_name=post_office&z=germantown,-77.2675694567,39.1745678055,POINT (-77.2675694567 39.1745678055),MD
Montgomery Village Post Office,10079 Stedwick Rd,Montgomery Village,20886,301-208-3716,http://usps.whitepages.com/service/post_office/71401?p=1&s=md&service_name=post_office&z=Montgomery+Village,-77.208194117,39.1709169889,POINT (-77.208194117 39.1709169889),MD
Olney Post Office,3570 Olney Laytonsville Rd,Olney,20832,301-260-9013,http://usps.whitepages.com/service/post_office/2771?p=1&s=md&service_name=post_office&z=Olney,-77.0712682943,39.1552009807,POINT (-77.0712682943 39.1552009807),MD
