Problem Size    Compute Time            CMA
8               0.000012                2.238320
16              0.000069                0.517321
32              0.000622                0.413439
64              0.005457                0.407525
128             0.017152                1.046245
256             0.134434                0.408005
512             1.456200                0.242254
1024            15.315036               0.177265



Cache Size: 4

Problem Size    Compute Time    	CMA
8               0.000006                0.316677
16              0.000040                0.421239
32              0.000327                0.344751
64              0.003257                0.251885
128             0.021820                0.381208
256             0.169690                0.366197
512             1.567054                0.282713
1024            12.894888               0.273767



Cache Size: 8

Problem Size    Compute Time    	CMA
8               0.000005                0.494792
16              0.000052                0.269818
32              0.000313                0.333709
64              0.002888                0.292375
128             0.020317                0.389804
256             0.151344                0.427144
512             1.233453                0.390657
1024            10.032847               0.377548



Cache Size: 16

Problem Size    Compute Time    	CMA
8               0.000005                0.374966
16              0.000035                0.508996
32              0.000297                0.377989
64              0.002837                0.301317
128             0.019269                0.411694
256             0.143858                0.452721
512             1.184769                0.410663
1024            10.028516               0.380984



Cache Size: 32

Problem Size    Compute Time    	CMA
8               0.000006                0.409703
16              0.000037                0.328790
32              0.000295                0.400853
64              0.002700                0.328374
128             0.019064                0.454407
256             0.145342                0.461275
512             1.195794                0.409754
1024            10.026966               0.380684



Cache Size: 64

Problem Size    Compute Time    	CMA
8               0.000007                0.315782
16              0.000037                0.339593
32              0.000292                0.368384
64              0.002797                0.333945
128             0.018589                0.445138
256             0.142053                0.459452
512             1.213031                0.399337
1024            10.499209               0.355140



Cache Size: 128

Problem Size    Compute Time    	CMA
8               0.000005                0.445784
16              0.000035                0.501331
32              0.000291                0.389230
64              0.002752                0.314537
128             0.019162                0.422122
256             0.147983                0.436395
512             1.332656                0.350051
1024            11.066572               0.334796
